t[s](1)           t[s/mm2](2)       r[mm](3)          r/rd[-](4)        T[K](5)           Tfib[K](6)        v[m/s](7)         vTh[m/s](8)       divQr[W/m3](9)    rHeat[W/m3](10)    rho[kg/m3](11)    MW[kg/kmol](12)    phi[-](13)        Cp[J/kg/K](14)    lambda[W/m/K](15)    dummy[-](16)      D_NC7H16[m2/s](17)    D_O2[m2/s](18)    D_H2O[m2/s](19)    D_CO2[m2/s](20)    D_CO[m2/s](21)    D_N2[m2/s](22)    W_NC7H16(23)      W_O2(24)          W_H2O(25)         W_CO2(26)         W_CO(27)          W_N2(28)          X_NC7H16(29)      X_O2(30)          X_H2O(31)         X_CO2(32)         X_CO(33)          X_N2(34)          
0.000000000e+00   0.000000000e+00   3.500000000e-01   1.000000000e+00   2.997000000e+02   2.997000000e+02   1.760000000e-02   0.000000000e+00   0.000000000e+00   -0.000000000e+00   2.455122259e+01   3.018890888e+01    1.000000000e+03   1.102112815e+03   2.578359387e-02      0.000000000e+00   3.169747595e-07       9.825692696e-07   1.055265640e-06    7.350142179e-07    9.774659388e-07   1.133548801e-06   1.000000000e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.000000000e-01   3.012714882e-02   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.698728512e-01   
0.000000000e+00   0.000000000e+00   3.535000000e-01   1.010000000e+00   7.460000000e+02   7.460000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   9.152689849e+00   2.801399994e+01    0.000000000e+00   1.109192657e+03   5.397375493e-02      0.000000000e+00   1.832598299e-06       5.037538616e-06   6.272719979e-06    3.994227336e-06    4.971047851e-06   5.858292859e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   3.570175000e-01   1.020050000e+00   7.460000000e+02   7.460000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   9.152689849e+00   2.801399994e+01    0.000000000e+00   1.109192657e+03   5.397375493e-02      0.000000000e+00   1.832598299e-06       5.037538616e-06   6.272719979e-06    3.994227336e-06    4.971047851e-06   5.858292859e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   3.605525000e-01   1.030150000e+00   7.460000000e+02   7.460000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   9.152689849e+00   2.801399994e+01    0.000000000e+00   1.109192657e+03   5.397375493e-02      0.000000000e+00   1.832598299e-06       5.037538616e-06   6.272719979e-06    3.994227336e-06    4.971047851e-06   5.858292859e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   3.641053500e-01   1.040301000e+00   7.460000000e+02   7.460000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   9.152689849e+00   2.801399994e+01    0.000000000e+00   1.109192657e+03   5.397375493e-02      0.000000000e+00   1.832598299e-06       5.037538616e-06   6.272719979e-06    3.994227336e-06    4.971047851e-06   5.858292859e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   3.676760500e-01   1.050503000e+00   7.460000000e+02   7.460000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   9.152689849e+00   2.801399994e+01    0.000000000e+00   1.109192657e+03   5.397375493e-02      0.000000000e+00   1.832598299e-06       5.037538616e-06   6.272719979e-06    3.994227336e-06    4.971047851e-06   5.858292859e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   3.712642500e-01   1.060755000e+00   7.460000000e+02   7.460000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   9.152689849e+00   2.801399994e+01    0.000000000e+00   1.109192657e+03   5.397375493e-02      0.000000000e+00   1.832598299e-06       5.037538616e-06   6.272719979e-06    3.994227336e-06    4.971047851e-06   5.858292859e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   3.748706500e-01   1.071059000e+00   7.460000000e+02   7.460000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   9.152689849e+00   2.801399994e+01    0.000000000e+00   1.109192657e+03   5.397375493e-02      0.000000000e+00   1.832598299e-06       5.037538616e-06   6.272719979e-06    3.994227336e-06    4.971047851e-06   5.858292859e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   3.784949000e-01   1.081414000e+00   7.460000000e+02   7.460000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   9.152689849e+00   2.801399994e+01    0.000000000e+00   1.109192657e+03   5.397375493e-02      0.000000000e+00   1.832598299e-06       5.037538616e-06   6.272719979e-06    3.994227336e-06    4.971047851e-06   5.858292859e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
0.000000000e+00   0.000000000e+00   3.821373500e-01   1.091821000e+00   7.460000000e+02   7.460000000e+02   0.000000000e+00   0.000000000e+00   0.000000000e+00   -0.000000000e+00   9.152689849e+00   2.801399994e+01    0.000000000e+00   1.109192657e+03   5.397375493e-02      0.000000000e+00   1.832598299e-06       5.037538616e-06   6.272719979e-06    3.994227336e-06    4.971047851e-06   5.858292859e-06   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   1.000000000e+00   
